step_number,peak_pressure,auc,rise_gradient,descent_gradient,variance,skewness,kurtosis
1,6,6,0.0,0.0,,,
2,6,6,0.0,0.0,,,
3,6,6,0.0,0.0,,,
4,6,6,0.0,0.0,,,
5,6,6,0.0,0.0,,,
6,6,6,0.0,0.0,,,
7,6,6,0.0,0.0,,,
8,6,6,0.0,0.0,,,
